"Block";"Column";"Row";"Name";"ID";"F635 Median"
1;1;1;"";"vhcm01";11938
1;2;1;"gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228";"vh040777";4668
1;3;1;"gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228";"vh040789";193
1;4;1;"gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77";"vh040873";179
1;5;1;"gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228";"vh040885";193
1;6;1;"gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182";"vh040969";180
1;7;1;"gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502";"vh040981";3238
1;8;1;"gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171";"vh041065";172
1;9;1;"gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77";"vh041077";154
1;10;1;"gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228";"vh041161";2052
1;11;1;"gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182";"vh041173";195
1;12;1;"gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502";"vh041257";474
1;13;1;"gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171";"vh041269";191
1;14;1;"hg17_refGene_NM_000177_0_0";"vh041353";11310
1;15;1;"hg17_refGene_NM_000937_24_61";"vh041365";224
1;16;1;"hg17_refGene_NM_001961_5_36";"vh041449";1369
1;17;1;"hg17_refGene_NM_000937_10_95";"vh041461";129
1;18;1;"hg17_refGene_NM_006289_20_53";"vh041545";192
1;19;1;"hg17_refGene_NM_002332_23_15";"vh041557";151
1;20;1;"gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182_a_28_0";"vh041641";131
1;21;1;"gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121_a_14_0";"vh041653";172
1;22;1;"gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229_a_63_0";"vh041737";136
1;23;1;"gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182_d_15_0";"vh041749";113
