Name,Probe_Name,Accession
hCP000001,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000002,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000003,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000004,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000005,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000006,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000007,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000008,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000009,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000010,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000011,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000012,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000013,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000014,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000015,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000016,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000017,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000018,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000019,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000020,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000021,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000022,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000023,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000024,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000025,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000026,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000027,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000028,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000029,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000030,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000031,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000032,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000033,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000034,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000035,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000036,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000037,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000038,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000039,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000040,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000041,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000042,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000043,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000044,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000045,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000046,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000047,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000048,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000049,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000050,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000051,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000052,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000053,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000054,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000055,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000056,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000057,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000058,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000059,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000060,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000061,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000062,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000063,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000064,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000065,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000066,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000067,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000068,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000069,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000070,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000071,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000072,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000073,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000074,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000075,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000076,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000077,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000078,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000079,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000080,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000081,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000082,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000083,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000084,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000085,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000086,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000087,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000088,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000089,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000090,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000091,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000092,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000093,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000094,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000095,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000096,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000097,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000098,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000099,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000100,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000101,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000102,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000103,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000104,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000105,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000106,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000107,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000108,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000109,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000110,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000111,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000112,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000113,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000114,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000115,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000116,gi|7669491|ref|NM_002046.2||gi|7669491|ref|NM_002046.2||+|683|1283_228,NM_002046.2
hCP000117,gi|21735624|ref|NM_145690.1||gi|21735624|ref|NM_145690.1||+|2276|2876_9,NM_145690.1
hCP000118,gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229,NM_004168.1
hCP000119,gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121,NM_000190.2
hCP000120,gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13,NM_004048.2
hCP000121,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000122,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
hCP000123,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000124,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000125,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000126,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000127,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
hCP000128,gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77,NM_012423.2
hCP000129,gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502,NM_021009.2
hCP000130,gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228,NM_001101.2
hCP000131,gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171,NM_003194.2
hCP000132,gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182,NM_000194.1
