"Block";"Column";"Row";"Name";"ID";"F635 Median"
1;1;1;"";"vhcm01";30689
1;2;1;"gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228";"vh040777";4912
1;3;1;"gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228";"vh040789";478
1;4;1;"gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77";"vh040873";109
1;5;1;"gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228";"vh040885";94
1;6;1;"gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182";"vh040969";132
1;7;1;"gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502";"vh040981";3839
1;8;1;"gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171";"vh041065";313
1;9;1;"gi|14591905|ref|NM_012423.2||gi|14591905|ref|NM_012423.2||+|542|1142_77";"vh041077";475
1;10;1;"gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228";"vh041161";5352
1;11;1;"gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182";"vh041173";136
1;12;1;"gi|34304116|ref|NM_021009.2||gi|34304116|ref|NM_021009.2||+|1592|2192_502";"vh041257";1720
1;13;1;"gi|20544178|ref|NM_003194.2||gi|20544178|ref|NM_003194.2||+|1267|1867_171";"vh041269";421
1;14;1;"hg17_refGene_NM_000177_0_0";"vh041353";17887
1;15;1;"hg17_refGene_NM_000937_24_61";"vh041365";295
1;16;1;"hg17_refGene_NM_001961_5_36";"vh041449";2417
1;17;1;"hg17_refGene_NM_000937_10_95";"vh041461";112
1;18;1;"hg17_refGene_NM_006289_20_53";"vh041545";418
1;19;1;"hg17_refGene_NM_002332_23_15";"vh041557";302
1;20;1;"gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182_a_28_0";"vh041641";137
1;21;1;"gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121_a_14_0";"vh041653";541
1;22;1;"gi|4759079|ref|NM_004168.1||gi|4759079|ref|NM_004168.1||+|1677|2277_229_a_63_0";"vh041737";252
1;23;1;"gi|4504482|ref|NM_000194.1||gi|4504482|ref|NM_000194.1||+|731|1331_182_d_15_0";"vh041749";97
1;24;1;"gi|20149499|ref|NM_000190.2||gi|20149499|ref|NM_000190.2||+|936|1536_121_d_15_0";"vh041833";1022
1;25;1;"gi|37704380|ref|NM_004048.2||gi|37704380|ref|NM_004048.2||+|387|987_13_d_15_0";"vh041845";548
1;26;1;"174939997|OCRL|NM_000276.2|EXON19|NT_011663.6_32";"vh041929";138
1;27;1;"174981951|HMGCR|NM_000859.1|EXON16|NT_025715.2_86";"vh041941";297
1;28;1;"174929840|ANXA7|NM_001156.2|4|5|NT_024037.6";"vh042025";1669
1;29;1;"174940005|OCRL|NM_001587.2|8|9|NT_011663.6";"vh042037";248
1;30;1;"gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228";"vh042121";5515
1;1;2;"gi|5016088|ref|NM_001101.2||gi|5016088|ref|NM_001101.2||+|1193|1793_228";"vh042133";3535
1;2;2;"175013200|PTPRC|NM_002838.1|3|4|NT_004680.6";"vh042217";479
1;3;2;"175014849|RB1|NM_000321.1|26|27|NT_009799.6";"vh042229";124
1;4;2;"hcm3^^scl084335^scl084335.1_29^exon_400^-18.1^301^84335";"vh042313";311
1;5;2;"hcm3^^scl0388531^scl0388531.1_56^exon_400^-18.6^274^388531";"vh042325";79
1;6;2;"hcm3^^scl0254085^scl0254085.1_87^exon_400^-19.3^243^439940";"vh042409";93
1;7;2;"hcm3^^scl060481^scl060481.1_8^exon_400^-19.3^322^60481";"vh042421";105
1;8;2;"hcm3^^scl42323^scl42323.33_434^exon_800^-19.5^296^9147";"vh042505";80
1;9;2;"hcm3^^scl51680^scl51680.16_92^exon_800^-19.6^638^147409";"vh042517";91
1;10;2;"hcm3^^scl26054^scl26054.14_564^exon_800^-19.7^166^55975";"vh042601";105
